"id","status","url","file","bytes"
"p0-langgraph-overview","saved","https://docs.langchain.com/oss/python/langgraph","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-langgraph-overview.md","5161"
"p0-langgraph-durable-execution","saved","https://docs.langchain.com/oss/python/langgraph/durable-execution","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-langgraph-durable-execution.md","14192"
"p0-langgraph-persistence","saved","https://docs.langchain.com/oss/python/langgraph/persistence","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-langgraph-persistence.md","47928"
"p0-langgraph-interrupts","saved","https://docs.langchain.com/oss/python/langgraph/interrupts","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-langgraph-interrupts.md","42569"
"p0-langgraph-github","saved","https://github.com/langchain-ai/langgraph","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-langgraph-github.md","40528"
"p0-pydanticai-overview","saved","https://ai.pydantic.dev/","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-pydanticai-overview.md","17079"
"p0-pydanticai-output","saved","https://ai.pydantic.dev/output/","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-pydanticai-output.md","48513"
"p0-pydanticai-mcp","saved","https://ai.pydantic.dev/mcp/","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-pydanticai-mcp.md","19081"
"p0-pydanticai-durable-execution","saved","https://ai.pydantic.dev/durable_execution/overview/","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-pydanticai-durable-execution.md","17732"
"p0-pydanticai-github","saved","https://github.com/pydantic/pydantic-ai","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p0-pydanticai-github.md","14451"
"p1-mcp-architecture","saved","https://modelcontextprotocol.io/docs/learn/architecture","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-mcp-architecture.md","11384"
"p1-mcp-server-concepts","saved","https://modelcontextprotocol.io/docs/learn/server-concepts","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-mcp-server-concepts.md","19598"
"p1-mcp-sdk","saved","https://modelcontextprotocol.io/docs/sdk","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-mcp-sdk.md","6211"
"p1-mcp-server-quickstart","saved","https://modelcontextprotocol.io/quickstart/server","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-mcp-server-quickstart.md","11566"
"p1-mcp-tools","saved","https://modelcontextprotocol.io/docs/tools","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-mcp-tools.md","3696"
"p1-mcp-security-best-practices","saved","https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-mcp-security-best-practices.md","24854"
"p1-mcp-authorization","saved","https://modelcontextprotocol.io/docs/tutorials/security/authorization","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-mcp-authorization.md","49348"
"p1-mcp-servers-github","saved","https://github.com/modelcontextprotocol/servers","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-mcp-servers-github.md","27790"
"p1-github-cli-manual","saved","https://cli.github.com/manual/","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-github-cli-manual.md","31925"
"p1-github-cli-search","saved","https://cli.github.com/manual/gh_search","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-github-cli-search.md","32581"
"p1-feedparser-basic","saved","https://feedparser.readthedocs.io/en/latest/basic/","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-feedparser-basic.md","5589"
"p1-agent-reach-github","saved","https://github.com/Panniantong/Agent-Reach","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p1-agent-reach-github.md","24556"
"p2-browser-use-quickstart","saved","https://docs.browser-use.com/cloud/quickstart","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p2-browser-use-quickstart.md","4862"
"p2-browser-use-cli","saved","https://docs.browser-use.com/open-source/browser-use-cli","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p2-browser-use-cli.md","23459"
"p2-browser-use-sessions","saved","https://docs.browser-use.com/guides/sessions","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p2-browser-use-sessions.md","5211"
"p2-browser-use-available-tools","saved","https://docs.browser-use.com/customize/tools/available","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p2-browser-use-available-tools.md","1972"
"p2-browser-use-custom-functions","saved","https://docs.browser-use.com/customize/custom-functions","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p2-browser-use-custom-functions.md","5808"
"p2-browser-use-tools-basics","saved","https://docs.browser-use.com/customize/tools/basics","D:\5个项目\VigilAI\docs\agent-system-research\official-docs\p2-browser-use-tools-basics.md","4154"
